Name,ACS
aspas,309.2
OXY,306.5
Demon1,287.0
keznit,277.0
Less,263.5
nataNk,262.8
Meiy,262.5
BuZz,254.4
Victor,247.5
Elite,246.3
Lmemore,243.1
trent,243.0
MiniBoo,241.6
Dep,240.0
something,238.6
Cryocells,238.0
heat,236.6
Derke,236.0
Jremy,234.5
Lightningfast,231.6
cNed,231.2
tomaszy,226.8
MaKo,225.8
QutionerX,225.3
Jemkin,224.9
lenne,224.0
Laz,223.0
sScary,221.9
t3xture,221.5
zekken,221.0
NaturE,220.6
invy,220.0
Keiko,219.8
valyn,219.5
N4RRATE,219.1
runneR,218.4
Marved,217.8
ban,217.5
f0rsakeN,217.4
Zyppan,217.4
Chronicle,216.8
xffero,216.7
Sayf,216.6
Sayaplayer,215.2
bang,215.0
Xeppaa,214.8
Alfajer,214.3
leaf,213.5
Jinggg,213.4
JitBoyS,212.4
artzin,211.5
kiNgg,210.8
mindfreak,209.4
Fit1nho,207.9
jzz,207.5
Asuna,207.2
nAts,207.2
marteen,206.2
benjyfishy,204.6
Leo,204.2
ardiis,203.9
Shao,203.5
MrFaliN,203.4
yuran,203.3
yetujey,203.1
frz,203.0
Governor,202.9
crashies,202.8
SugarZ3ro,202.1
JonahP,202.0
trexx,201.2
pAura,201.0
TenZ,201.0
Russ,200.6
SUYGETSU,200.0
BORKUM,199.1
RieNs,197.7
mwzera,197.0
nzr,196.6
grubinho,195.8
Meteor,195.6
Munchkin,195.4
yay,194.4
runi,194.2
Zellsis,193.2
iZu,193.1
purp0,192.2
Brave,191.8
qRaxs,190.9
BeYN,190.5
ceNder,190.1
Rossy,189.7
Jamppi,189.4
Foxy9,189.1
stax,188.6
Deryeon,186.8
d4v41,186.6
ANGE1,185.6
Zest,185.5
jawgemo,185.2
Klaus,185.0
Enzo,184.2
saadhak,184.0
Sacy,183.2
paTiTek,182.6
NDG,181.8
hoody,181.6
Melser,181.0
johnqt,179.8
AtaKaptan,179.6
Polvi,178.8
sh1n,178.2
Medusa,178.1
Cloud,177.6
Mistic,177.6
MAGNUM,175.8
beyAz,175.5
cauanzin,175.0
hiroronn,174.8
logaN,174.5
supamen,174.2
Benkai,173.6
havoc,173.6
eeiu,172.5
Lakia,172.4
Kicks,171.6
Derrek,171.6
Carpe,170.5
Karon,170.0
TakaS,169.5
moose,167.5
xccurate,167.3
Apoth,167.0
kamo,166.5
sheydos,166.2
Ethan,163.8
Khalil,163.4
tuyz,162.5
Quick,162.5
reazy,162.5
Mazino,162.4
Shyy,162.0
ShadoW,161.8
starxo,160.8
Boo,160.3
blaZek1ng,159.0
tex,158.2
JessieVash,157.4
icy,157.2
C0M,156.0
fl1pzjder,154.7
Estrella,151.6
Anthem,151.4
kon4n,151.0
neth,149.4
Retla,149.4
SSeeS,147.8
Crws,147.4
Boaster,146.8
RgLMeister,146.5
vanity,145.7
Surf,141.0
Redgar,135.6
mazin,129.5
Boostio,114.2
Wailers,105.8
