Name,Rating,Map,MatchTeams
Lmemore,2.09,Icebox,BLD VS RRQ
aspas,2.06,Icebox,C9 VS LEV
Zest,2.05,Ascent,BLD VS DFM
OXY,1.94,Split,C9 VS EG
OXY,1.86,Sunset,C9 VS EG
valyn,1.84,Icebox,G2 VS EG
Lightningfast,1.83,Icebox,GE VS TLN
aspas,1.8,Lotus,SEN VS LEV
MaKo,1.76,Split,T1 VS DRX
BuZz,1.71,Bind,T1 VS DRX
nataNk,1.71,Ascent,BBL VS M8
Chronicle,1.71,Lotus,M8 VS FNC
Laz,1.71,Sunset,GE VS ZETA
Zest,1.68,Ascent,BLD VS ZETA
MaKo,1.67,Lotus,TS VS DRX
benjyfishy,1.66,Sunset,VIT VS TH
trent,1.65,Icebox,G2 VS EG
iZu,1.65,Breeze,T1 VS DRX
Dep,1.64,Sunset,GE VS ZETA
Rossy,1.64,Ascent,T1 VS RRQ
QutionerX,1.6,Sunset,BBL VS TH
Demon1,1.6,Sunset,NRG VS LOUD
Shao,1.6,Lotus,VIT VS NAVI
Elite,1.6,Breeze,BBL VS KOI
Jremy,1.58,Split,TS VS RRQ
benjyfishy,1.58,Icebox,FNC VS TH
Demon1,1.57,Split,NRG VS FUR
Boaster,1.57,Bind,FNC VS GX
ban,1.56,Lotus,GE VS TLN
heat,1.56,Breeze,KRU VS FUR
Marved,1.56,Split,NRG VS FUR
qRaxs,1.55,Ascent,VIT VS FUT
JitBoyS,1.55,Bind,BLD VS TLN
sh1n,1.55,Breeze,KC VS GX
N4RRATE,1.55,Split,KC VS M8
xffero,1.55,Icebox,BLD VS RRQ
ardiis,1.54,Sunset,KC VS NAVI
heat,1.54,Icebox,KRU VS FUR
tomaszy,1.54,Split,KC VS M8
pAura,1.53,Breeze,BBL VS KOI
Derke,1.53,Lotus,M8 VS FNC
Jemkin,1.53,Lotus,BLD VS RRQ
BeYN,1.53,Split,GEN VS DRX
ANGE1,1.52,Bind,VIT VS NAVI
t3xture,1.52,Split,GEN VS DFM
beyAz,1.51,Sunset,BBL VS M8
Sacy,1.51,Icebox,SEN VS 100T
moose,1.51,Split,C9 VS EG
Alfajer,1.49,Icebox,FNC VS KOI
N4RRATE,1.48,Bind,KC VS NAVI
N4RRATE,1.48,Icebox,KC VS M8
nAts,1.48,Icebox,TL VS GX
Dep,1.48,Lotus,TS VS ZETA
Brave,1.47,Icebox,BBL VS KOI
Meiy,1.46,Ascent,T1 VS DFM
MiniBoo,1.46,Icebox,FNC VS TH
sScary,1.46,Lotus,BLD VS DFM
Asuna,1.46,Split,G2 VS 100T
marteen,1.46,Bind,KC VS NAVI
Surf,1.46,Icebox,BLD VS TLN
